-0.900160 	1.002606 	0.000000 
-0.812547 	1.075661 	0.012006 
-0.737408 	1.045978 	0.001939 
-0.638011 	1.041985 	0.000900 
-0.544033 	1.032177 	0.000495 
-0.446615 	1.025863 	0.000368 
-0.348107 	1.019152 	0.000322 
-0.249151 	1.011070 	0.000349 
-0.150278 	0.996422 	0.000501 
-0.051604 	0.934809 	0.001362 
0.047711 	1.154399 	0.002628 
0.147871 	1.063577 	0.000910 
0.247919 	1.054544 	0.000701 
0.347861 	1.056129 	0.000700 
0.447449 	1.051150 	0.000710 
0.545385 	1.035327 	0.000632 
0.642321 	1.024001 	0.000629 
0.743307 	1.023602 	0.000865 
0.827509 	1.020018 	0.002560 
0.932346 	1.022417 	0.007889 
